snippet,bleu,code
0,1.0,93
1,1.0,94
2,1.0,95
3,1.0,96
4,0.5036210420094999,109733
5,0.48569266202721484,41911
6,0.6880352208137579,61389
7,0.5757255951841239,110043
8,0.5508665080230915,112840
9,0.5335569981561393,21810
10,0.9834653789785137,556
11,0.902122331921246,4793
12,0.6049444631277655,37432
13,0.4971290081296073,125718
14,0.6058081327691136,85311
15,0.752926842305593,42664
16,0.5808590252573967,113549
17,0.584793587228893,75843
18,0.5519821810345434,9672
19,0.5735579540099294,58413
20,0.6311469654312638,91209
21,0.4276172638141464,79475
22,0.48880434553790375,59620
23,0.6334171667081446,33001
24,0.47872951334389446,117002
25,0.6444274678639197,124261
26,0.6801297905528884,7629
27,0.8339333883477829,52173
28,0.729827438110899,76069
29,0.6099332188952761,35951
30,0.848219861937046,53360
31,0.5377274760368551,89527
32,0.5456027001517456,45490
33,0.6190509975085522,31243
34,0.611261504911848,29936
35,0.7074478200796098,38689
36,0.674973517870242,123966
37,0.9341355077956581,182
38,0.5007395138835877,1559
39,0.7492300431396308,27264
40,0.8368555350584397,9986
41,1.0,1487
42,0.9180466554652996,1488
43,0.9656187881844999,6480
44,0.5387079808065965,91039
45,0.5673803990652604,128436
46,0.5445571238775908,110394
47,0.7222482844705178,35951
48,0.5650839518922943,110305
49,0.6169621230152846,99332
50,0.7274782650417311,91470
51,0.5546167427445402,58085
52,0.5648615727297505,55249
53,0.9578989636046467,45
54,0.6233150805973313,21681
55,0.7156158114337404,117463
56,0.5729651289341262,89805
57,0.8222734427318498,57734
58,1.0,105835
59,0.6951710697867558,18368
60,0.7986484098458434,52193
61,0.7084163320278626,28580
62,0.8252703699218269,116146
63,0.7360056241216096,112197
64,0.9547590633846439,47074
65,0.922028342067224,8383
66,0.7184881055393693,118598
67,0.9162513540662587,25907
68,1.0,290
69,0.9433729707400175,1
70,0.9060862068474704,87
71,1.0,98
72,0.9393423965201181,182
73,0.4790034601792882,291
74,0.44092440223882656,107879
75,0.880753506060359,51701
76,0.6854171956501193,128538
77,0.7235952736238869,37277
78,0.6708874864292587,2246
79,0.6174303176147826,31485
80,0.5979229884535215,99665
81,0.6212706608157001,58810
82,0.583049607100958,97481
83,0.930591863793793,182
84,0.6648358085647003,115810
85,0.7059236326308178,59918
86,0.6058722061670809,64719
87,0.7468491823946296,30377
88,0.8146490531485011,45349
89,0.7268514449005814,48504
90,0.6489627279073498,7422
91,0.6531593743756525,2540
92,0.5779737653803431,24423
93,0.6307681072195616,56154
94,1.0,802
95,0.6282992185454439,53054
96,0.40127695808667,13695
97,0.9343040163172579,76853
98,0.7549102948509653,27477
99,0.7268286995550202,63546
100,0.720843716665505,91945
101,0.7952159358963675,31685
102,1.0,35951
