snippet,bleu,code
0,1.0,44
1,1.0,45
2,1.0,46
3,0.5767607125020265,24925
4,0.6517289724637416,46557
5,0.7272028296309833,4830
6,0.6130279626993026,54564
7,0.5062648071140703,5409
8,0.9060012611023882,21772
9,0.6248924233596456,53615
10,0.5769573277143109,50661
11,0.6073997695747889,37197
12,0.5113558892226576,31762
13,0.5345866454607805,38561
14,0.5266495515724817,48704
15,0.6235813894928497,52070
16,0.4806248369306028,36418
17,0.7791778924996446,26872
18,0.6250039619097771,45602
19,0.7186654995792093,33847
20,0.6607822567792697,31931
21,0.6109549301353883,23011
22,0.49465132079925495,66128
23,0.5633211285006494,18537
24,0.5684424039931242,8001
25,0.6462663080623835,21395
26,0.9113333431600248,7762
27,0.6067181179901986,2484
28,0.5193316863489945,8998
29,0.8067533703287679,23020
30,0.781699621859202,18055
31,0.9640848954757244,716
32,0.9641500617865947,2847
33,0.6124568072864611,1119
34,0.696067526719917,54038
35,0.6064836343749735,25173
36,0.5931529319860004,46642
37,0.6060237443780416,4464
38,0.6300681389019186,7685
39,0.895334168882175,63786
40,0.5561435630583564,22722
41,0.5771401245076446,41378
42,0.6165969061401556,38213
43,0.7060917344408769,14727
44,0.7221882863126866,57295
45,0.7571800848393244,61793
46,0.9101549019885975,38100
47,0.6198280178031716,35273
48,1.0,108
49,1.0,310
50,1.0,51
51,0.9705797485935082,110
52,0.8223921607351162,30670
53,0.7068586980055428,45912
54,0.6400489045776663,11662
55,0.5962966649563388,36418
56,0.5900904947128356,55220
57,0.6523946642292393,26173
58,0.9912599091627661,453
59,0.888790088244177,36546
60,0.8402553314354392,8790
61,0.711362951391915,63568
62,0.6802620063538221,16482
63,0.8041929945246629,22905
64,0.7170742273019007,20638
65,0.7073951804166707,12047
66,0.481193394506504,1350
67,0.6710513912638116,67574
68,0.6715697417960924,18674
69,0.8112680824263225,63287
70,0.5238037145579173,66826
71,0.4146753613230805,14856
72,0.48607133621287435,470
73,0.6457909628524338,10185
74,0.6467303807707283,29704
75,0.6599875827412831,1565
76,0.9049096240561044,40664
77,0.5227194031455608,7535
78,0.5764151932166176,12775
79,1.0,109
80,0.6549983970290895,50519
81,0.6734893460043776,21680
82,0.5334402958540256,40448
83,0.5823470633889697,40765
84,0.7342433436654389,36050
85,0.6409536333155798,68698
86,0.6196437983644357,49915
87,0.5712104690866335,27001
88,0.5261485200055015,55078
89,0.8027724631846337,27702
90,0.5374174441357419,47610
91,0.5570747013013061,38507
92,0.6474104844304217,59669
93,0.5738996415295421,62540
94,0.746086478332624,25053
95,0.6495705101622042,47512
96,0.5582433497321353,58274
97,0.7092319536673918,3273
98,0.5708451125777922,20989
99,0.5352770846774665,28831
100,0.5249181162431066,62444
101,0.9004998124025285,46969
102,0.5423752619931431,21680
103,0.6737638416271486,68172
104,0.7912008418472992,15217
105,0.6913676459924354,15621
106,0.8263275774609067,17730
107,1.0,15
108,1.0,66
109,0.9654406961775662,440
110,0.5796276407624785,8460
111,0.914207915400019,716
112,0.9414794939623369,875
113,1.0,44206
114,1.0,44207
115,1.0,2889
116,1.0,236
117,1.0,44208
118,1.0,44209
119,0.5453513602393767,36383
120,0.6082594147315998,67063
121,0.5707233255229308,51987
122,0.5327062814111899,54872
123,0.7593813411747692,50519
124,0.7222959381450805,69289
125,0.7251139320746647,47563
126,0.5735530150491688,24212
127,0.558024933102482,52009
128,1.0,33
129,0.9787038567955739,91
130,1.0,448
131,0.9571957807466986,24
132,1.0,115
133,0.6184912302636925,12237
134,0.6377035873913266,67730
135,0.5607330529591025,34691
136,0.6289940310251165,53109
137,0.6704371095581426,24204
138,0.5502650706543255,15916
139,0.7215075635257091,34122
140,0.7220966592956947,33318
141,0.7220966592956947,33318
142,0.6578338234415219,60324
143,0.6816128555409892,32726
144,0.9641071915584812,1603
145,0.6581391214632802,61511
146,0.5814448133002244,30820
147,0.7940794354802246,64839
148,0.5820907048812869,47076
149,0.6908134699624183,44353
150,0.645818961735696,28859
151,0.6347486059774491,58899
152,0.5687368896694249,65884
153,0.7593941084450826,5956
154,0.6744059296293319,7167
155,0.6113251984426893,55175
156,0.850054766154563,25429
157,0.564271418432985,68409
158,0.6356754750879177,49055
159,0.6426099888782236,50506
160,0.6011060309882487,40448
